Defect ID,Summary,Module,Severity,Priority,Status,Logged Date,Closed Date,Root Cause,Type
D0047,I again its score believe only loss.,Finance,Medium,P3,In Progress,2025-04-09,,Security,Technical
D0048,Serve public role almost charge different great.,HR,High,P2,In Progress,2025-04-14,,Configuration,Functional
D0049,Exactly hope only hospital.,HR,High,P1,Closed,2025-04-10,2025-04-15,Performance,Functional
D0050,My million agree dark low check total.,Sales,High,P1,In Progress,2025-03-17,,Security,Functional
D0051,Consider reduce almost heavy government usually year.,Accounts Payable,Critical,P2,Open,2025-01-30,,Configuration,Data
D0052,Make first situation partner.,Inventory,Low,P3,In Progress,2025-02-21,,Configuration,Data
D0053,Tough available customer.,Procurement,Medium,P2,Open,2025-04-05,,Data Conversion,Technical
D0054,Science thing choice politics reveal.,HR,Critical,P1,Reopened,2025-01-22,,UI Gap,Technical
D0055,Try too language want current.,Finance,High,P2,In Progress,2025-01-17,,Security,Functional
D0056,Him myself blue opportunity thing represent off.,Accounts Receivable,Critical,P1,Closed,2025-02-23,2025-03-24,Security,Technical
D0057,Might general officer.,Sales,Critical,P3,Closed,2025-02-14,2025-04-03,Configuration,UI
D0058,Factor computer this crime film than.,Sales,Critical,P2,In Progress,2025-01-20,,Configuration,UI
D0059,Impact lead system week wife almost.,Sales,Low,P3,Reopened,2025-02-05,,Configuration,Functional
D0060,Why step on much second day.,Finance,Low,P3,In Progress,2025-02-05,,UI Gap,UI
D0061,Back red whose picture.,Inventory,Critical,P3,In Progress,2025-04-10,,Data Conversion,UI
D0062,Voice resource focus own she.,Procurement,Critical,P1,Open,2025-03-22,,Security,Technical
D0063,Contain series owner figure.,Accounts Receivable,High,P3,In Progress,2025-02-05,,Configuration,Functional
D0064,Arm bad city detail open.,Procurement,Medium,P2,Reopened,2025-01-17,,Configuration,Data
D0065,Instead throughout training truth building ten notice.,HR,Critical,P3,In Progress,2025-02-07,,Configuration,UI
D0066,Meet put kind mission should across toward film.,Sales,Low,P2,Open,2025-03-15,,Performance,Functional
D0067,Team whatever leave own single million husband recently.,Inventory,Low,P2,In Progress,2025-02-14,,Performance,UI
D0068,Popular enough cause international over go.,HR,Medium,P2,Closed,2025-03-08,2025-03-09,Data Conversion,Data
D0069,Lot go check child.,Accounts Receivable,Medium,P2,Reopened,2025-02-13,,Security,Technical
D0070,Thing on color space remain quite financial degree.,Accounts Payable,Low,P3,Closed,2025-04-11,2025-04-12,Data Conversion,Technical
D0071,His involve career notice never finish.,Accounts Payable,Medium,P3,Open,2025-03-07,,UI Gap,Technical
D0072,Other set call key police issue product.,Finance,Medium,P1,In Progress,2025-02-23,,UI Gap,Technical
D0073,New order ability range five new maybe material.,Procurement,High,P2,Reopened,2025-03-26,,Configuration,Technical
D0074,Back feeling class letter happy never.,Accounts Payable,Critical,P1,Open,2025-01-28,,Security,UI
D0075,Century area else again from issue value.,Procurement,Low,P2,In Progress,2025-01-28,,Data Conversion,UI
D0076,Soldier half as there reveal debate.,Accounts Receivable,Critical,P1,Reopened,2025-02-26,,UI Gap,Data
D0077,Necessary five money detail plant.,Finance,High,P3,In Progress,2025-02-23,,Configuration,UI
D0078,Staff friend thank audience lot hold budget begin.,Accounts Payable,Medium,P3,Open,2025-02-06,,Integration,UI
D0079,Suddenly degree eat which cold decade school.,Accounts Receivable,Critical,P2,Reopened,2025-01-26,,Security,Functional
D0080,Thought long among tax class wide.,Inventory,High,P3,Reopened,2025-03-16,,Integration,Data
D0081,Save ask site major.,Procurement,Critical,P1,Reopened,2025-04-14,,Data Conversion,Technical
D0082,Coach alone card.,HR,Critical,P3,Reopened,2025-01-29,,Performance,UI
D0083,Reduce field black represent social full.,Accounts Receivable,High,P2,Closed,2025-03-17,2025-03-31,Data Conversion,UI
D0084,We day direction summer court rate.,Accounts Payable,High,P3,Closed,2025-03-07,2025-04-10,Security,Technical
D0085,Art best accept maybe address surface.,Procurement,Low,P1,In Progress,2025-03-01,,Integration,Technical
D0086,In trip give.,Accounts Receivable,Critical,P2,Open,2025-01-20,,Configuration,Technical
D0087,Country cause here day how.,Sales,Low,P1,Reopened,2025-02-06,,Security,Data
D0088,Ten figure then kind shoulder employee project.,Accounts Payable,High,P3,In Progress,2025-04-02,,Data Conversion,Functional
D0089,Small life fire act beat.,HR,Critical,P3,Open,2025-03-11,,Security,Data
D0090,Against tonight cost would about.,Accounts Receivable,Low,P3,Reopened,2025-03-11,,Configuration,UI
D0091,Box nature focus process yet.,Accounts Receivable,High,P3,Reopened,2025-02-05,,Configuration,Functional
D0092,Model move catch shoulder.,Inventory,Medium,P1,Open,2025-04-07,,Configuration,Technical
D0093,At word low list.,HR,Low,P3,Reopened,2025-03-31,,Performance,UI
D0094,Phone down such official mention production.,Finance,Low,P1,Reopened,2025-01-25,,Performance,Functional
D0095,Weight game feel heavy act article.,HR,High,P3,Open,2025-02-02,,Performance,Functional
D0096,Address summer camera investment daughter occur.,Inventory,Critical,P1,Reopened,2025-01-26,,Performance,UI
D0097,Choice police building who compare there ok.,Finance,Low,P2,Closed,2025-03-03,2025-03-17,Performance,UI
D0098,Instead eye treat because most.,Sales,High,P1,Open,2025-01-23,,Data Conversion,Technical
D0099,Whether treat stop method.,Accounts Payable,Low,P2,Reopened,2025-03-30,,Integration,UI
D0100,According meeting for attorney heart.,Finance,Medium,P1,Reopened,2025-01-23,,Integration,Data
D0101,Sometimes involve past scene.,Accounts Receivable,Medium,P3,Reopened,2025-02-16,,Performance,Data
D0102,Read too road together.,Accounts Payable,Low,P1,Reopened,2025-03-11,,Configuration,Technical
D0103,Away Congress reality understand information meeting industry.,Sales,High,P1,Closed,2025-01-27,2025-02-24,Integration,Functional
D0104,Build several indicate grow network.,Sales,Critical,P2,Open,2025-04-10,,Performance,Technical
D0105,Current help former serve kitchen.,Accounts Receivable,High,P1,Closed,2025-01-26,2025-04-10,UI Gap,UI
D0106,Baby many threat often trip drop former.,Accounts Payable,Medium,P3,In Progress,2025-02-01,,Data Conversion,Technical
D0107,Able standard ability although after.,Finance,Critical,P2,Reopened,2025-03-10,,Security,Functional
D0108,Strategy owner half pass want.,Finance,Critical,P3,Reopened,2025-01-29,,Performance,Functional
D0109,Determine fine suddenly reach ball.,Inventory,High,P1,Reopened,2025-02-01,,UI Gap,Data
D0110,Mouth surface relationship building player.,Inventory,Low,P3,Closed,2025-03-07,2025-04-13,UI Gap,Functional
D0111,Physical five hour respond traditional finally about.,Finance,Low,P3,Closed,2025-02-10,2025-03-19,Data Conversion,Functional
D0112,Clear discuss grow decade.,Finance,Low,P3,Reopened,2025-01-25,,Security,Technical
D0113,Along suggest region energy hard drive discussion general.,Inventory,Critical,P2,Open,2025-03-29,,Performance,Technical
D0114,Mention pick black stop leave go parent everyone.,Accounts Receivable,Critical,P3,In Progress,2025-03-18,,Security,Technical
D0115,Process quality there attorney experience.,Inventory,High,P3,Closed,2025-04-03,2025-04-07,Integration,UI
D0116,Level with identify near tough commercial.,Sales,Medium,P3,Reopened,2025-01-22,,UI Gap,Functional
D0117,Hair general by brother later front.,Sales,Low,P3,Open,2025-01-24,,Performance,Functional
D0118,Money article size start three above street.,HR,Medium,P3,Open,2025-03-10,,UI Gap,Data
D0119,Professor grow face.,Accounts Receivable,Critical,P2,Reopened,2025-03-20,,Data Conversion,Functional
D0120,Old involve speak.,Finance,High,P2,In Progress,2025-02-01,,Configuration,Technical
D0121,Life what mind low example though.,HR,Low,P1,Reopened,2025-03-10,,Data Conversion,UI
D0122,Carry be kid.,Accounts Receivable,High,P3,Reopened,2025-01-22,,Integration,UI
D0123,Little choice speak rate again spring miss.,Sales,Medium,P2,Closed,2025-03-26,2025-04-12,Security,UI
D0124,Talk ok history power increase.,Inventory,Critical,P1,In Progress,2025-02-08,,Performance,UI
D0125,And require green people admit fish.,HR,Medium,P1,In Progress,2025-01-30,,Performance,UI
D0126,As figure pull far.,Procurement,Low,P2,Reopened,2025-04-07,,Security,UI
D0127,Staff with ok everybody senior.,Procurement,Low,P3,In Progress,2025-03-21,,Configuration,Data
D0128,Owner exactly sell result focus available large.,HR,Low,P2,Reopened,2025-01-31,,Configuration,Data
D0129,Citizen season season.,Finance,Low,P1,Reopened,2025-04-09,,Security,Functional
D0130,Person pay despite decade century interview.,Finance,Medium,P2,Open,2025-02-18,,Data Conversion,Data
D0131,Offer choose of enjoy day.,Finance,Medium,P3,In Progress,2025-02-12,,UI Gap,Data
D0132,Start could he sometimes too consider.,Accounts Receivable,Low,P3,Open,2025-01-31,,Data Conversion,Data
D0133,Animal report treatment voice community certainly.,Accounts Payable,High,P2,Open,2025-03-22,,Security,Functional
D0134,Build color executive wonder task easy their.,Procurement,Critical,P2,Closed,2025-03-01,2025-03-05,UI Gap,UI
D0135,Book Mrs matter stand.,Finance,Low,P2,Open,2025-04-12,,Security,Technical
D0136,Less every just prove develop including.,Accounts Receivable,High,P3,Reopened,2025-04-13,,Integration,UI
D0137,Billion degree leader.,Accounts Receivable,Low,P1,In Progress,2025-01-31,,Performance,UI
D0138,Song reflect result people kitchen place parent.,Finance,High,P2,Reopened,2025-03-13,,Data Conversion,Functional
D0139,Agreement hear wish book operation election early.,Finance,High,P1,Reopened,2025-02-04,,Security,Functional
D0140,Turn responsibility major determine.,Inventory,Low,P2,Reopened,2025-03-10,,Security,UI
D0141,Bed drug treat religious may anything smile.,Finance,Medium,P3,Open,2025-03-15,,Data Conversion,UI
D0142,Money in near interview.,Accounts Receivable,Critical,P3,Reopened,2025-03-19,,Configuration,Functional
D0143,Defense senior manage watch recently project.,Accounts Payable,Medium,P3,Open,2025-04-14,,Security,Data
D0144,Policy represent think court off local attorney.,Sales,Medium,P2,Closed,2025-01-29,2025-02-06,Integration,Data
D0145,Interest investment find final series kid anyone.,Finance,Low,P3,In Progress,2025-03-14,,Security,Data
D0146,Spend civil factor policy sport.,HR,High,P3,Open,2025-03-16,,Security,UI
D0147,Small ago hope clear concern.,Procurement,Low,P1,Closed,2025-01-19,2025-02-01,Data Conversion,Functional
D0148,Above purpose play world particular daughter both.,Inventory,Medium,P2,Open,2025-03-04,,UI Gap,Functional
D0149,Always travel popular whether authority.,Sales,High,P1,Closed,2025-04-15,2025-04-15,Data Conversion,Functional
D0150,Most center city computer act.,HR,Critical,P2,Reopened,2025-02-05,,Configuration,Technical
D0151,President degree class.,Finance,High,P1,Closed,2025-01-29,2025-02-15,UI Gap,Data
D0152,Sit again read while back difficult expect she.,Sales,Critical,P3,Open,2025-03-11,,Security,UI
D0153,His loss painting.,Inventory,Medium,P3,Open,2025-03-18,,Configuration,Data
D0154,West lay economic hand place.,HR,High,P3,Closed,2025-03-13,2025-04-11,Data Conversion,Data
D0155,Purpose experience establish campaign reflect interview.,Accounts Payable,Medium,P1,Closed,2025-04-13,2025-04-14,Integration,Technical
D0156,Along beat close level each.,Accounts Payable,Medium,P2,Open,2025-04-09,,Performance,Functional
D0157,Picture interest weight wall his.,Finance,Critical,P2,Reopened,2025-04-07,,Data Conversion,UI
D0158,Include relate carry thing.,Accounts Receivable,High,P1,Reopened,2025-02-27,,Performance,Data
D0159,Nation something television dark.,HR,Critical,P2,Open,2025-02-16,,Data Conversion,Data
D0160,Character in put hotel.,Finance,Low,P3,In Progress,2025-03-23,,Configuration,Data
D0161,Always great network test easy area.,Accounts Receivable,Low,P1,Closed,2025-02-01,2025-02-13,Performance,Data
D0162,Seven factor might.,Finance,Medium,P1,Closed,2025-04-09,2025-04-09,Security,Data
D0163,Try much lose manage state.,Accounts Payable,Medium,P1,In Progress,2025-02-12,,UI Gap,Data
D0164,Late recognize true any necessary usually.,Procurement,High,P2,In Progress,2025-02-19,,Security,Data
D0165,Speech line than population cover.,Sales,Low,P1,In Progress,2025-03-09,,Performance,Functional
D0166,Agent account sport while.,Finance,Critical,P3,Closed,2025-01-29,2025-02-11,UI Gap,UI
D0167,Throw information although finally involve.,Accounts Receivable,Critical,P3,Closed,2025-03-04,2025-03-28,Security,Functional
D0168,Brother which source life.,Accounts Receivable,Medium,P3,Reopened,2025-03-23,,Security,Functional
D0169,Tv card interest law have.,Procurement,Critical,P2,Reopened,2025-04-12,,Security,Functional
D0170,Boy his our various yourself out member.,Sales,Medium,P2,Open,2025-03-25,,Data Conversion,Technical
D0171,May letter response perhaps would.,Sales,Critical,P3,Closed,2025-04-11,2025-04-13,UI Gap,UI
D0172,Stay by chair easy town concern staff.,Accounts Payable,Low,P3,In Progress,2025-03-15,,Configuration,Data
D0173,Rock produce break beyond federal firm room.,Inventory,Low,P1,In Progress,2025-04-08,,Integration,Functional
D0174,Television every theory.,Finance,High,P2,Open,2025-04-15,,Integration,Technical
D0175,Trial important him ok event election our.,Accounts Payable,High,P2,In Progress,2025-03-17,,Security,UI
D0176,Sit time occur benefit rise newspaper buy.,Accounts Payable,Low,P3,In Progress,2025-01-21,,UI Gap,Functional
D0177,Job move allow baby threat arm activity.,Accounts Receivable,Low,P3,Closed,2025-04-06,2025-04-09,Data Conversion,Functional
D0178,Sometimes floor account something free.,Sales,Low,P2,Open,2025-03-16,,Configuration,Technical
D0179,Behind eye capital.,Accounts Receivable,Medium,P2,Open,2025-03-10,,UI Gap,Data
D0180,Firm star audience year share poor bank raise.,Sales,Low,P3,Closed,2025-04-10,2025-04-11,Integration,UI
D0181,Late any action talk international.,Finance,Low,P1,Reopened,2025-01-17,,Configuration,Data
D0182,Policy next professional hospital wear respond.,Sales,Medium,P2,Reopened,2025-03-25,,Data Conversion,Data
D0183,Plan throughout perform yes.,Accounts Receivable,Low,P3,In Progress,2025-02-16,,Configuration,Functional
D0184,Why experience religious head can respond surface.,HR,Low,P2,Reopened,2025-02-03,,Performance,Technical
D0185,Measure outside parent without.,Accounts Payable,Critical,P3,Reopened,2025-01-24,,Data Conversion,Functional
D0186,Maybe certainly only improve energy whom.,Sales,Low,P1,In Progress,2025-04-09,,Performance,Data
D0187,Meet radio these.,Procurement,High,P2,Open,2025-04-01,,Data Conversion,UI
D0188,Let style nor respond chance most beautiful.,Accounts Receivable,Low,P1,Closed,2025-04-11,2025-04-14,Security,Data
D0189,Young test same federal country cup teacher.,Accounts Payable,Low,P3,Closed,2025-02-18,2025-03-26,Performance,Functional
D0190,Cause need animal.,Sales,Low,P1,Open,2025-02-15,,Performance,Functional
D0191,Head least almost present choice.,Accounts Payable,Critical,P1,Open,2025-02-27,,Performance,Technical
D0192,Remember appear authority speak first home.,Finance,High,P1,Closed,2025-04-10,2025-04-12,Security,UI
D0193,Later assume economy sport necessary seem.,Sales,High,P1,Closed,2025-03-14,2025-03-30,Performance,Functional
D0194,Indeed own serve interesting step now another.,Finance,Low,P2,Closed,2025-02-24,2025-04-11,Integration,Functional
D0195,Especially by many age word think.,Inventory,Critical,P3,Reopened,2025-04-12,,Integration,Data
D0196,Watch memory just establish.,Accounts Receivable,High,P2,Reopened,2025-03-26,,Configuration,Data
D0197,Manage bring across.,Accounts Payable,High,P1,In Progress,2025-03-22,,Data Conversion,Technical
D0198,Carry consumer plan able including power.,Procurement,High,P1,In Progress,2025-03-11,,Configuration,Functional
D0199,Save practice wrong his material particular.,Finance,High,P1,Reopened,2025-04-08,,UI Gap,Functional
D0200,Life care result drive cup.,HR,Critical,P3,Closed,2025-03-26,2025-04-13,Security,UI
D0201,Simple environmental machine have deep property standard.,HR,Critical,P1,Reopened,2025-02-03,,Integration,Data
D0202,Image not true choice economy guy open.,Inventory,Medium,P1,Reopened,2025-03-01,,Configuration,Technical
D0203,Only collection wonder.,Accounts Payable,High,P2,Open,2025-03-06,,Data Conversion,Data
D0204,Him important realize newspaper exist situation feeling government.,Inventory,Critical,P2,Closed,2025-04-02,2025-04-05,Integration,UI
D0205,According wife address fund.,Procurement,Critical,P3,In Progress,2025-01-17,,Configuration,Technical
D0206,Group make none family.,Inventory,Medium,P2,In Progress,2025-02-04,,Configuration,UI
D0207,Present could seat write resource order cold certainly.,Inventory,Medium,P3,Reopened,2025-02-25,,Security,Data
D0208,End our former show between.,Accounts Payable,Critical,P2,In Progress,2025-03-31,,Configuration,Data
D0209,Month hot view he.,Inventory,High,P2,Closed,2025-01-21,2025-01-23,Integration,Technical
D0210,Television ten real shoulder white.,HR,Low,P1,Reopened,2025-02-16,,UI Gap,Functional
D0211,Research hospital interview wait.,Accounts Receivable,Critical,P3,In Progress,2025-02-17,,Performance,Functional
D0212,Up sport point order analysis society social.,Procurement,Critical,P2,Reopened,2025-01-21,,Security,Data
D0213,Month group partner live theory.,Inventory,Medium,P2,Closed,2025-01-24,2025-02-09,Configuration,Functional
D0214,Any data reveal station.,Finance,Critical,P1,Reopened,2025-03-19,,Security,Technical
D0215,Same where city product usually three.,Procurement,Critical,P3,Closed,2025-02-27,2025-03-26,Security,Technical
D0216,Some catch consumer.,Inventory,Low,P3,Open,2025-02-11,,Security,UI
D0217,Than year simple study address relate.,HR,Medium,P2,In Progress,2025-01-30,,Data Conversion,Data
D0218,Describe actually plan.,Inventory,High,P2,Open,2025-01-19,,Configuration,Technical
D0219,Parent four say safe can also.,HR,Critical,P3,Closed,2025-04-02,2025-04-06,Performance,UI
D0220,Stay camera impact eight professional together space.,Accounts Payable,Low,P3,Reopened,2025-02-05,,Integration,Functional
D0221,Black forward president avoid sense.,HR,High,P3,Reopened,2025-01-19,,UI Gap,Technical
D0222,Dinner wife production recent voice line.,Accounts Receivable,Critical,P2,Open,2025-04-13,,Security,Data
D0223,Couple imagine call response spend think including.,HR,High,P3,Reopened,2025-01-20,,Configuration,UI
D0224,Explain pass both both political food well.,Accounts Payable,Low,P2,Open,2025-01-19,,Integration,Functional
D0225,Prove play right yes sometimes recently.,Inventory,Medium,P3,In Progress,2025-03-16,,Data Conversion,Functional
D0226,Other might its spring move arm.,HR,Low,P1,Reopened,2025-02-04,,Performance,Functional
D0227,Safe certainly training stand fill discover.,Finance,Critical,P3,Open,2025-04-07,,Data Conversion,UI
D0228,Interview address hear learn site.,HR,Critical,P1,Reopened,2025-02-14,,Integration,Functional
D0229,Factor but yet sure glass political quality suffer.,Finance,Low,P1,Closed,2025-02-25,2025-02-28,Integration,Data
D0230,Enter either writer.,Sales,Medium,P2,Open,2025-03-02,,Data Conversion,Technical
D0231,Less become attack recent part wonder deal.,Inventory,High,P2,Closed,2025-02-11,2025-03-21,Performance,Data
D0232,Among win couple member perform project.,Procurement,High,P3,Reopened,2025-02-26,,UI Gap,Technical
D0233,The listen somebody strategy.,Procurement,High,P2,Closed,2025-03-13,2025-03-16,Integration,Data
D0234,Business food picture degree apply can.,Sales,Low,P1,Closed,2025-03-19,2025-03-20,UI Gap,Data
D0235,Others special want cut know full effect.,Sales,Low,P2,Reopened,2025-03-27,,Configuration,UI
D0236,Notice tax sound strong senior major catch.,Inventory,Critical,P3,Closed,2025-03-04,2025-04-02,Data Conversion,Technical
D0237,What night Mr weight view.,Inventory,Critical,P2,Closed,2025-02-09,2025-04-06,Configuration,Functional
D0238,Whole magazine or.,Accounts Receivable,High,P1,In Progress,2025-04-15,,UI Gap,Functional
D0239,Per newspaper rock theory store wait research response.,Sales,Medium,P1,Closed,2025-03-10,2025-04-02,Data Conversion,Functional
D0240,Husband car effort.,Sales,Low,P2,Open,2025-03-31,,Integration,UI
D0241,First sign compare those.,Accounts Payable,High,P3,Open,2025-03-02,,UI Gap,Data
D0242,Stage buy foot various sort energy none.,HR,High,P3,Open,2025-02-12,,Security,UI
D0243,Risk certainly exist budget doctor bit.,Accounts Receivable,Critical,P2,Reopened,2025-01-21,,Integration,UI
D0244,Toward race quality style.,Finance,Medium,P3,In Progress,2025-03-26,,UI Gap,Data
D0245,Learn standard create so.,Accounts Receivable,Low,P1,Reopened,2025-03-01,,Data Conversion,Technical
D0246,Director reality main person minute real career.,HR,Critical,P1,Closed,2025-04-02,2025-04-13,Integration,UI
D0247,Evidence interest oil last arrive law star if.,Accounts Payable,Low,P1,Closed,2025-02-10,2025-04-06,Security,Technical
D0248,Box environment hope right finally peace exist.,Accounts Payable,Medium,P1,Reopened,2025-03-26,,Integration,Functional
D0249,Newspaper choice that high.,Inventory,Critical,P1,Open,2025-03-02,,Configuration,Functional
D0250,Back offer morning run well put agree sign.,Sales,Critical,P2,Reopened,2025-02-03,,UI Gap,Functional
D0251,Kid listen lose candidate give our least.,HR,Medium,P2,Closed,2025-01-31,2025-02-24,Data Conversion,Functional
D0252,Adult for window too.,Accounts Payable,Medium,P2,In Progress,2025-03-28,,Integration,Technical
D0253,Recently when work consumer main.,Procurement,Medium,P2,Closed,2025-02-15,2025-03-02,Integration,Data
D0254,West small call environmental.,Procurement,Low,P2,Open,2025-03-05,,Performance,Technical
D0255,Help north none region throw quickly.,Procurement,High,P2,Open,2025-03-26,,Integration,Technical
D0256,Sister carry environmental its land magazine city.,HR,High,P1,Open,2025-03-24,,Data Conversion,UI
D0257,Strategy together business receive.,Finance,Medium,P2,Closed,2025-04-11,2025-04-13,Data Conversion,UI
D0258,Newspaper southern opportunity view.,Accounts Receivable,Critical,P2,Reopened,2025-01-26,,Configuration,Data
D0259,Brother doctor enter level bar important.,HR,Low,P2,Reopened,2025-03-20,,UI Gap,Functional
D0260,Believe affect news may market.,Procurement,Medium,P1,Open,2025-02-13,,Security,Technical
D0261,With create successful front join building.,HR,High,P1,Open,2025-04-01,,Integration,Data
D0262,Drug provide heavy into measure former impact.,HR,Medium,P1,Open,2025-03-12,,Integration,UI
D0263,Help open age Republican laugh great machine.,Finance,High,P1,Closed,2025-01-29,2025-02-16,Performance,Technical
D0264,Somebody idea hand member dream situation development wind.,HR,High,P3,Reopened,2025-04-01,,UI Gap,Data
D0265,Another himself set tend.,Sales,Critical,P2,Closed,2025-02-18,2025-03-28,Integration,Technical
D0266,Away land me material would fast probably.,Accounts Receivable,Low,P3,In Progress,2025-04-10,,Data Conversion,Functional
D0267,Usually that fill agree.,Accounts Payable,Critical,P3,Closed,2025-04-04,2025-04-09,Integration,UI
D0268,Remember a traditional design subject expert with.,Sales,Medium,P1,Reopened,2025-04-08,,UI Gap,UI
D0269,Describe food state network animal friend sell line.,Accounts Payable,High,P2,In Progress,2025-03-06,,Configuration,UI
D0270,Power hand reflect stage turn.,Inventory,Critical,P3,In Progress,2025-02-10,,UI Gap,Functional
D0271,Six low do church example attorney what.,Inventory,Medium,P1,Reopened,2025-04-14,,Configuration,Technical
D0272,Close today chair cultural.,Accounts Payable,High,P3,Reopened,2025-01-17,,Configuration,Functional
D0273,Perform production inside shake.,HR,Low,P1,Closed,2025-01-24,2025-02-13,Data Conversion,Technical
D0274,Subject vote same peace.,Accounts Payable,Critical,P3,Closed,2025-03-26,2025-03-30,Configuration,UI
D0275,Without child choose.,Inventory,Medium,P1,In Progress,2025-02-05,,Data Conversion,Technical
D0276,Listen throughout its huge who.,Accounts Receivable,High,P2,Closed,2025-03-04,2025-03-23,Integration,Data
D0277,Middle best leg which.,Accounts Receivable,High,P3,Reopened,2025-03-14,,Performance,Technical
D0278,Bill reveal mission name partner available sea.,Accounts Payable,High,P3,Closed,2025-04-10,2025-04-11,UI Gap,UI
